modzcta,modzcta_name,label,lat,lon,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange
11356,College Point,11356,40.784867,-73.841495,5.26,456,24,258.6,No,September 4-September 10
11357,Whitestone,11357,40.78639,-73.810964,2.82,779,22,284.1,Yes,September 4-September 10
11358,Auburndale/Murray Hill,11358,40.760475,-73.79637,2.75,690,19,291.5,Yes,September 4-September 10
11360,Bayside (North),11360,40.78205,-73.7808,3.3,454,15,273,Yes,September 4-September 10
11361,Bayside (North)/Bayside (South),11361,40.763748,-73.772419,3.15,476,15,246.5,No,September 4-September 10
11362,Douglaston-Little Neck,11362,40.756533,-73.736995,2.33,386,9,298.3,Yes,September 4-September 10
11363,Douglaston-Little Neck,11363,40.772803,-73.746444,0.75,133,1,311.8,Yes,September 4-September 10
11364,Bayside (South)/Oakland Gardens,11364,40.745279,-73.760578,3.92,714,28,311,Yes,September 4-September 10
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,11365,40.739775,-73.794806,2.66,828,22,303.5,Yes,September 4-September 10
11366,Fresh Meadows/Hillcrest,11366,40.728136,-73.784981,5.62,267,15,267.5,Yes,September 4-September 10
11367,Kew Gardens Hills/Pomonok,11367,40.730383,-73.826297,3.52,738,26,277.8,Yes,September 4-September 10
11368,Corona/North Corona,11368,40.749594,-73.852604,3.7,1948,72,251,No,September 4-September 10
11369,Airport/East Elmhurst,11369,40.768944,-73.872812,4.34,807,35,303.3,Yes,September 4-September 10
11370,Jackson Heights/Rikers Island,11370,40.763466,-73.891021,2.85,632,18,283.2,Yes,September 4-September 10
11372,Jackson Heights,11372,40.75169,-73.883634,2.45,1634,40,352.7,Yes,September 4-September 10
11373,Elmhurst,11373,40.738823,-73.8785,2.93,1944,57,338.2,Yes,September 4-September 10
11374,Rego Park,11374,40.726441,-73.861497,3.74,1044,39,328.6,Yes,September 4-September 10
11375,Forest Hills,11375,40.720931,-73.846184,4.68,1775,83,329.7,Yes,September 4-September 10
11377,Woodside,11377,40.744823,-73.90516,3.02,2217,67,389.1,Yes,September 4-September 10
11378,Maspeth,11378,40.724768,-73.909399,5.05,792,40,279.4,Yes,September 4-September 10
11379,Middle Village,11379,40.716758,-73.879597,5.23,803,42,303,Yes,September 4-September 10
11385,Glendale/Ridgewood,11385,40.701058,-73.890159,4.18,2297,96,305.9,Yes,September 4-September 10
11411,Cambria Heights,11411,40.694202,-73.735998,3.01,565,17,397.6,Yes,September 4-September 10
11412,St. Albans,11412,40.698095,-73.758984,2.86,1153,33,525,Yes,September 4-September 10
11413,Laurelton/Rosedale,11413,40.669738,-73.750842,2.52,1153,29,418.9,Yes,September 4-September 10
11414,Hamilton Beach/Howard Beach/Lindenwood,11414,40.658266,-73.844905,4.13,581,24,275.1,Yes,September 4-September 10
11415,Kew Gardens,11415,40.708323,-73.828212,2.14,420,9,333.8,Yes,September 4-September 10
11416,Ozone Park,11416,40.684652,-73.849549,3.27,490,16,272.8,Yes,September 4-September 10
11417,Ozone Park,11417,40.676457,-73.844522,5.16,601,31,338.3,Yes,September 4-September 10
11418,Richmond Hill,11418,40.700236,-73.836062,3.65,740,27,327.3,Yes,September 4-September 10
11419,Richmond Hill/South Ozone Park,11419,40.688676,-73.822901,3.04,887,27,268,Yes,September 4-September 10
11420,South Ozone Park,11420,40.673518,-73.817812,3.18,975,31,292.7,Yes,September 4-September 10
11421,Woodhaven,11421,40.69405,-73.85867,3.36,744,25,242.2,No,September 4-September 10
11422,Rosedale,11422,40.660819,-73.73608,2.34,942,22,469.3,Yes,September 4-September 10
11423,Hollis/Holliswood,11423,40.71491,-73.767865,2.79,754,21,420.7,Yes,September 4-September 10
11426,Bellerose,11426,40.736521,-73.722384,2.52,436,11,312.4,Yes,September 4-September 10
11427,Bellerose/Hollis Hills/Holliswood,11427,40.730915,-73.745611,1.75,515,9,356.3,Yes,September 4-September 10
11428,Queens Village,11428,40.721015,-73.742206,2.82,496,14,387.5,Yes,September 4-September 10
11429,Queens Village,11429,40.709772,-73.738731,1.88,745,14,399.1,Yes,September 4-September 10
11432,Hillcrest/Jamaica Estates/Jamaica Hills,11432,40.715359,-73.793064,2.15,1207,26,345.7,Yes,September 4-September 10
11433,Jamaica,11433,40.69823,-73.787095,3.32,903,30,397,Yes,September 4-September 10
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,11434,40.656866,-73.783386,2.53,1821,46,444.9,Yes,September 4-September 10
11435,Briarwood/Jamaica,11435,40.701291,-73.809618,3.9,1129,44,296.2,Yes,September 4-September 10
11436,South Jamaica/South Ozone Park,11436,40.675819,-73.796618,2.84,493,14,379.2,Yes,September 4-September 10
11691,Edgemere/Far Rockaway,11691,40.60133,-73.761357,4.18,1388,58,369.4,Yes,September 4-September 10
11692,Arverne/Edgemere,11692,40.592794,-73.792203,3.52,511,18,356.6,Yes,September 4-September 10
11693,Arverne/Broad Channel,11693,40.603699,-73.821926,5.45,257,14,315.7,Yes,September 4-September 10
11694,Belle Harbor-Neponsit/Rockaway Park,11694,40.577599,-73.844553,4.35,437,19,356.1,Yes,September 4-September 10
11697,Breezy Point,11697,40.55907,-73.907199,8.25,97,8,265.3,Yes,September 4-September 10
