MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_COUNT_WEEK4,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK1,COVID_CASE_COUNT_4WEEK,COVID_CASE_RATE_WEEK4,COVID_CASE_RATE_WEEK3,COVID_CASE_RATE_WEEK2,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK
11221,Bedford-Stuyvesant (East)/Bushwick,26,15,17,7,65,31.83,18.37,20.81,8.57,79.59,-41,1,1.22,5870,7187.25,1.11
11222,Greenpoint,9,7,8,3,27,24.76,19.26,22.01,8.25,74.28,-31,2,5.5,3433,9444.51,0.79
11223,Gravesend/Homecrest,13,15,21,15,64,16.26,18.76,26.26,18.76,80.04,29,0,0,3647,4561.2,1.75
11224,Brighton Beach/Coney Island/Seagate,3,6,9,4,22,6.74,13.49,20.23,8.99,49.45,44,2,4.5,2850,6406.32,0.77
11225,Crown Heights (West)/Prospect Lefferts Gardens,6,6,13,7,32,10.4,10.4,22.53,12.13,55.45,67,0,0,3818,6615.67,0.84
11226,Flatbush/Prospect Lefferts Gardens,23,11,10,17,61,23.22,11.1,10.09,17.16,61.58,-21,1,1.01,6244,6303.17,0.98
11228,Bath Beach/Dyker Heights,15,10,9,8,42,33.93,22.62,20.36,18.09,94.99,-32,0,0,2320,5247.08,1.81
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,17,18,16,10,61,20.02,21.2,18.84,11.78,71.84,-26,0,0,3810,4487.15,1.6
11230,Midwood,22,15,13,26,76,24.67,16.82,14.58,29.16,85.23,5,1,1.12,4440,4979.49,1.71
11231,Carroll Gardens/Cobble Hill/Red Hook,5,4,8,1,18,13.52,10.81,21.62,2.7,48.66,0,0,0,3120,8433.64,0.58
11232,Sunset Park,7,17,10,5,39,24.76,60.13,35.37,17.69,137.95,-38,0,0,2292,8107.22,1.7
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,13,11,9,7,40,18.02,15.25,12.47,9.7,55.44,-33,2,2.77,3826,5303.17,1.05
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,23,22,13,15,73,24.13,23.08,13.64,15.74,76.6,-38,0,0,4730,4963.02,1.54
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,22,29,25,24,100,27.66,36.46,31.43,30.17,125.72,-4,2,2.51,4634,5825.99,2.16
11236,Canarsie,17,15,14,10,56,17.55,15.49,14.46,10.33,57.82,-25,2,2.07,5443,5620.21,1.03
11237,Bushwick/East Williamsburg,5,17,12,8,42,9.86,33.53,23.67,15.78,82.85,-9,0,0,3366,6639.61,1.25
11238,Clinton Hill/Prospect Heights,8,7,7,7,29,14.81,12.96,12.96,12.96,53.69,-7,1,1.85,5448,10085.94,0.53
11239,East New York,6,8,2,2,18,48.33,64.45,16.11,16.11,145,-71,0,0,783,6307.72,2.3
11354,Flushing/Murray Hill,6,13,8,7,34,10.81,23.42,14.41,12.61,61.24,-21,3,5.4,4026,7251.66,0.84
11355,Flushing/Murray Hill/Queensboro Hill,14,12,7,15,48,17.5,15,8.75,18.75,59.99,-15,1,1.25,4480,5599.02,1.07
11356,College Point,12,9,6,2,29,51.45,38.59,25.73,8.58,124.34,-62,0,0,1329,5698.3,2.18
11357,Whitestone,8,5,9,8,30,20.01,12.51,22.51,20.01,75.05,31,2,5,2524,6313.86,1.19
11358,Auburndale/Murray Hill,4,4,3,1,12,11.25,11.25,8.44,2.81,33.76,-50,0,0,2073,5832.62,0.58
11360,Bayside (North),0,2,0,2,4,0,10.6,0,10.6,21.21,0,1,5.3,1135,6017.02,0.35
11361,Bayside (North)/Bayside (South),2,1,6,4,13,7.15,3.58,21.45,14.3,46.48,233,1,3.58,1670,5970.26,0.78
11362,Douglaston-Little Neck,1,5,1,2,9,5.64,28.19,5.64,11.28,50.74,-50,0,0,1103,6218.28,0.82
11363,Douglaston-Little Neck,1,2,1,1,5,13.97,27.94,13.97,13.97,69.84,-33,0,0,456,6369.58,1.1
11364,Bayside (South)/Oakland Gardens,5,10,4,3,22,14.47,28.93,11.57,8.68,63.65,-53,0,0,1969,5696.91,1.12
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,6,6,9,6,27,13.62,13.62,20.43,13.62,61.29,25,0,0,2435,5527.71,1.11
11366,Fresh Meadows/Hillcrest,2,4,0,5,11,14.52,29.03,0,36.29,79.84,-17,0,0,752,5458.22,1.46
11367,Kew Gardens Hills/Pomonok,7,6,7,11,31,16.65,14.27,16.65,26.17,73.74,38,0,0,2365,5625.7,1.31
11368,Corona/North Corona,31,34,18,24,107,27.78,30.47,16.13,21.51,95.88,-35,3,2.69,6208,5563.02,1.72
11369,Airport/East Elmhurst,7,4,5,3,19,19.2,10.97,13.71,8.23,52.11,-27,2,5.49,2358,6466.97,0.81
11370,Jackson Heights/Rikers Island,3,4,8,11,26,9.16,12.21,24.42,33.58,79.37,171,0,0,2051,6260.94,1.27
11372,Jackson Heights,24,16,14,24,78,38.36,25.57,22.38,38.36,124.67,-5,3,4.8,4526,7234.32,1.72
11373,Elmhurst,19,16,23,15,73,20.46,17.23,24.76,16.15,78.6,9,2,2.15,5576,6003.72,1.31
11374,Rego Park,7,13,11,7,38,16.65,30.92,26.16,16.65,90.37,-10,0,0,2508,5964.66,1.52
11375,Forest Hills,9,20,21,20,70,12.76,28.35,29.76,28.35,99.22,41,0,0,4370,6193.93,1.6
