MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11364,Bayside (South)/Oakland Gardens,Queens,11364,40.745279,-73.760578,8986,2392,11378,25179.13,31881.6,35688.29,111,311.03
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,11365,40.739775,-73.794806,11880,3664,15544,27113.96,35476.37,43815.08,202,461.03
11366,Fresh Meadows/Hillcrest,Queens,11366,40.728136,-73.784981,3980,799,4779,28012.12,33635.65,14208.14,72,506.75
11367,Kew Gardens Hills/Pomonok,Queens,11367,40.730383,-73.826297,12188,3146,15334,29963.59,37697.87,40676.04,174,427.77
11368,Corona/North Corona,Queens,11368,40.749594,-73.852604,34711,6081,40792,31449.73,36959.39,110369.78,686,621.55
11369,Airport/East Elmhurst,Queens,11369,40.768944,-73.872812,13189,2597,15786,39220.59,46943.38,33627.74,313,930.78
11370,Jackson Heights/Rikers Island,Queens,11370,40.763466,-73.891021,9883,2617,12500,31100.78,39336.21,31777.34,139,437.42
11372,Jackson Heights,Queens,11372,40.75169,-73.883634,22144,4436,26580,36491.44,43801.6,60682.72,458,754.75
11373,Elmhurst,Queens,11373,40.738823,-73.8785,33326,5424,38750,36359.99,42277.78,91655.7,522,569.52
11374,Rego Park,Queens,11374,40.726441,-73.861497,15114,2460,17574,36512.76,42455.69,41393.74,241,582.21
11375,Forest Hills,Queens,11375,40.720931,-73.846184,21163,4028,25191,29695.57,35347.6,71266.52,434,608.98
11377,Woodside,Queens,11377,40.744823,-73.90516,30448,5701,36149,36226.87,43009.89,84048.11,462,549.69
11378,Maspeth,Queens,11378,40.724768,-73.909399,11912,2927,14839,32955.74,41053.58,36145.45,163,450.96
11379,Middle Village,Queens,11379,40.716758,-73.879597,11894,2571,14465,32464.9,39482.5,36636.49,268,731.51
11385,Glendale/Ridgewood,Queens,11385,40.701058,-73.890159,34676,4994,39670,33466.14,38285.89,103615.19,361,348.4
11411,Cambria Heights,Queens,11411,40.694202,-73.735998,5935,1260,7195,27762.05,33655.93,21378.1,104,486.48
11412,St. Albans,Queens,11412,40.698095,-73.758984,12185,2354,14539,31983.66,38162.53,38097.58,188,493.47
11413,Laurelton/Rosedale,Queens,11413,40.669738,-73.750842,12605,2476,15081,29173.59,34904.16,43206.88,239,553.15
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,11414,40.658266,-73.844905,9979,2268,12247,35188.87,43186.51,28358.4,202,712.31
11415,Kew Gardens,Queens,11415,40.708323,-73.828212,6534,925,7459,34620.84,39522.01,18873.03,113,598.74
11416,Ozone Park,Queens,11416,40.684652,-73.849549,9911,1269,11180,37556.43,42365.14,26389.62,141,534.3
11417,Ozone Park,Queens,11417,40.676457,-73.844522,11219,2207,13426,36142.13,43252,31041.34,142,457.45
11418,Richmond Hill,Queens,11418,40.700236,-73.836062,13011,1702,14713,34616.98,39145.31,37585.6,188,500.19
11419,Richmond Hill/South Ozone Park,Queens,11419,40.688676,-73.822901,15902,2330,18232,32784.3,37587.94,48504.92,248,511.29
11420,South Ozone Park,Queens,11420,40.673518,-73.817812,15803,2483,18286,33036.44,38227.19,47835.06,245,512.18
11421,Woodhaven,Queens,11421,40.69405,-73.85867,15782,2126,17908,39406.24,44714.67,40049.5,219,546.82
11422,Rosedale,Queens,11422,40.660819,-73.73608,9829,1964,11793,30346.67,36410.44,32389.06,161,497.08
11423,Hollis/Holliswood,Queens,11423,40.71491,-73.767865,9949,1955,11904,31950.9,38229.32,31138.4,231,741.85
11426,Bellerose,Queens,11426,40.736521,-73.722384,6116,1346,7462,30331.91,37007.31,20163.58,82,406.67
11427,Bellerose/Hollis Hills/Holliswood,Queens,11427,40.730915,-73.745611,7337,1522,8859,31124.82,37581.41,23572.82,112,475.12
11428,Queens Village,Queens,11428,40.721015,-73.742206,6160,1611,7771,33152.28,41822.47,18580.92,114,613.53
11429,Queens Village,Queens,11429,40.709772,-73.738731,8651,2016,10667,31108.21,38357.56,27809.38,172,618.5
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,11432,40.715359,-73.793064,19459,3224,22683,32028.79,37335.38,60754.71,481,791.71
11433,Jamaica,Queens,11433,40.69823,-73.787095,11418,2291,13709,31263.42,37536.36,36521.92,214,585.95
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,11434,40.656866,-73.783386,19859,4519,24378,29745.35,36514.03,66763.37,419,627.59
11435,Briarwood/Jamaica,Queens,11435,40.701291,-73.809618,17624,4015,21639,30170.31,37043.54,58415.04,331,566.63
11436,South Jamaica/South Ozone Park,Queens,11436,40.675819,-73.796618,6264,1149,7413,31253.52,36986.33,20042.54,99,493.95
11691,Edgemere/Far Rockaway,Queens,11691,40.60133,-73.761357,22606,2490,25096,33812.82,37537.22,66856.31,670,1002.15
11692,Arverne/Edgemere,Queens,11692,40.592794,-73.792203,6363,966,7329,30258.03,34851.66,21029.13,162,770.36
11693,Arverne/Broad Channel,Queens,11693,40.603699,-73.821926,3867,711,4578,30515.76,36126.49,12672.14,69,544.5
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,11694,40.577599,-73.844553,6752,1303,8055,32493.72,38764.35,20779.4,150,721.87
11697,Breezy Point,Queens,11697,40.55907,-73.907199,1656,314,1970,48811.88,58067.27,3392.62,22,648.47
