MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,label,lat,lon,COVID_CONFIRMED_CASE_COUNT,COVID_PROBABLE_CASE_COUNT,COVID_CASE_COUNT,COVID_CONFIRMED_CASE_RATE,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE
11232,Sunset Park,Brooklyn,11232,40.655984,-74.005304,9301,2241,11542,34339.12,42612.85,27085.73,103,380.27
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,11233,40.678302,-73.919931,23410,4731,28141,31497.48,37862.91,74323.4,396,532.81
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,11234,40.60758,-73.910513,29104,7460,36564,30943.24,38874.68,94056.07,497,528.41
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,11235,40.583915,-73.949669,31218,8391,39609,39921.93,50652.44,78197.62,916,1171.39
11236,Canarsie,Brooklyn,11236,40.640004,-73.901459,30855,6754,37609,31770.89,38725.38,97117.19,622,640.46
11237,Bushwick/East Williamsburg,Brooklyn,11237,40.704153,-73.920883,16915,3145,20060,35239.16,41791.16,48000.58,199,414.58
11238,Clinton Hill/Prospect Heights,Brooklyn,11238,40.679179,-73.963804,17068,4556,21624,31873.84,40381.99,53548.62,245,457.53
11239,East New York,Brooklyn,11239,40.64753,-73.882398,6724,735,7459,51634.5,57278.67,13022.3,210,1612.62
11354,Flushing/Murray Hill,Queens,11354,40.76863,-73.827229,18228,4269,22497,33806.36,41723.82,53918.85,637,1181.41
11355,Flushing/Murray Hill/Queensboro Hill,Queens,11355,40.751459,-73.821014,28144,5338,33482,35691.78,42461.35,78852.89,532,674.67
11356,College Point,Queens,11356,40.784867,-73.841495,8533,2563,11096,37402.44,48636.77,22814.02,94,412.03
11357,Whitestone,Queens,11357,40.78639,-73.810964,13175,4167,17342,34030.94,44794.28,38714.77,287,741.32
11358,Auburndale/Murray Hill,Queens,11358,40.760475,-73.79637,11047,4201,15248,30665.14,42326.62,36024.61,158,438.59
11360,Bayside (North),Queens,11360,40.78205,-73.7808,5679,2124,7803,29818.24,40970.55,19045.39,131,687.83
11361,Bayside (North)/Bayside (South),Queens,11361,40.763748,-73.772419,8399,3325,11724,31849.87,44458.61,26370.6,181,686.37
11362,Douglaston-Little Neck,Queens,11362,40.756533,-73.736995,5043,2194,7237,27859.24,39979.64,18101.72,131,723.69
11363,Douglaston-Little Neck,Queens,11363,40.772803,-73.746444,1765,831,2596,26205.17,38543.12,6735.31,26,386.03
